NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
M4A4 | Howl,Factory New,Natus Vincere | Katowice 2015,Natus Vincere | Katowice 2015,,,730_2_25554254966,https://steamcommunity.com/id/hannah6/inventory/#730_2_25554254966
Souvenir M4A1-S | Master Piece,Minimal Wear,StarLadder (Gold) | Berlin 2019,Natus Vincere (Gold) | Berlin 2019,flamie (Gold) | Berlin 2019,DreamEaters (Gold) | Berlin 2019,730_2_20004345013,https://steamcommunity.com/id/hannah6/inventory/#730_2_20004345013
Desert Eagle | Cobalt Disruption,Minimal Wear,DEVIL (Foil) | MLG Columbus 2016,ESL (Foil) | Cologne 2016,Team EnVyUs (Foil) | Cologne 2015,,730_2_26993677541,https://steamcommunity.com/id/ethel73/inventory/#730_2_26993677541
AWP | Graphite,Factory New,Team LDLC.com | Cologne 2014,Vox Eminor | Cologne 2014,Team Dignitas | Cologne 2014,Team Dignitas | Cologne 2014,730_2_25792860061,https://steamcommunity.com/id/ethel73/inventory/#730_2_25792860061
P90 | Desert Warfare,Field-Tested,Virtus.Pro | Cologne 2014,,,,730_2_24169166685,https://steamcommunity.com/id/ethel73/inventory/#730_2_24169166685
Desert Eagle | Blaze,Factory New,Incineration (Holo),NiKo (Holo) | Stockholm 2021,,,730_2_25173783630,https://steamcommunity.com/id/victoria993/inventory/#730_2_25173783630
P250 | Facets,Factory New,denis (Foil) | Cologne 2016,,,,730_2_25100280986,https://steamcommunity.com/id/victoria993/inventory/#730_2_25100280986
StatTrak™ AWP | Lightning Strike,Factory New,Dragon Lore (Foil),,,,730_2_24965486645,https://steamcommunity.com/id/victoria993/inventory/#730_2_24965486645
AWP | Lightning Strike,Factory New,SK Gaming (Holo) | Cologne 2016,,,,730_2_27026097881,https://steamcommunity.com/id/richard29/inventory/#730_2_27026097881
AWP | Silk Tiger,Factory New,Gratisfaction (Gold) | Katowice 2019,,,,730_2_26999204778,https://steamcommunity.com/id/richard29/inventory/#730_2_26999204778
FAMAS | Spitfire,Minimal Wear,mousesports | Cologne 2016,Legendary,,,730_2_27020766145,https://steamcommunity.com/id/barbara575/inventory/#730_2_27020766145
AK-47 | X-Ray,Well-Worn,Flame Tier6 (Holo),iBUYPOWER | Cologne 2014,Miami Tier6 (Holo),Forge Tier6 (Holo),730_2_26887783510,https://steamcommunity.com/id/barbara575/inventory/#730_2_26887783510
StatTrak™ M4A4 | Royal Paladin,Factory New,Global Elite (Foil),,,,730_2_26515307250,https://steamcommunity.com/id/barbara575/inventory/#730_2_26515307250
AWP | Gungnir,Factory New,North (Holo) | London 2018,,,,730_2_23654652812,https://steamcommunity.com/id/barbara575/inventory/#730_2_23654652812
AK-47 | Elite Build,Field-Tested,Maikelele | Cologne 2015,NBK- | Cologne 2015,Xizt | Cologne 2015,Ninjas in Pyjamas  | Katowice 2015,730_2_27041477970,https://steamcommunity.com/id/je981/inventory/#730_2_27041477970
M4A1-S | Guardian,Minimal Wear,Team Dignitas | DreamHack 2014,Team LDLC.com | Cologne 2014,Team LDLC.com | Cologne 2014,Team LDLC.com | Cologne 2014,730_2_27040578382,https://steamcommunity.com/id/je981/inventory/#730_2_27040578382
AWP | Lightning Strike,Factory New,Lambda (Holo),,,,730_2_25530044010,https://steamcommunity.com/id/je981/inventory/#730_2_25530044010
AWP | Medusa,Factory New,Lucky (Gold) | Katowice 2019,,,,730_2_25514049353,https://steamcommunity.com/id/je981/inventory/#730_2_25514049353
AWP | Dragon Lore,Factory New,loWel (Gold) | Berlin 2019,loWel (Gold) | Berlin 2019,loWel (Gold) | Berlin 2019,loWel (Gold) | Berlin 2019,730_2_23495499176,https://steamcommunity.com/id/corey71/inventory/#730_2_23495499176
